Ticker;Position;Entry Date;Avg. Price;Exit Date;Exit Price;PnL %;Portfolio Exposure;Source;Position High;Position Low;Drawdown;Run Up
AAPL;LONG;07.04.2025;$177.06;09.04.2025;$190.69;7.70%;2.72%;Alen;$200.61;$169.21;-4.43%;13.30%
GOOG;LONG;07.04.2025;$153.52;09.04.2025;$154.57;0.68%;2.36%;Alen;$161.87;$142.66;-7.07%;5.44%
VTR;LONG;28.03.2025;$71.19;23.04.2025;$86.32;21.25%;1.64%;Alen;$71.36;$60.15;-15.51%;0.24%
AUR;LONG;08.01.2025;$7.03;28.04.2025;$7.18;2.13%;2.70%;Alen;$10.77;$5.04;-28.31%;53.20%
MSTR;LONG;28.01.2025;$353.61;29.04.2025;$370.63;4.81%;2.18%;Alen;$383.95;$231.51;-34.53%;8.58%
XYZ;LONG;24.02.2025;$58.59;29.04.2025;$59.58;1.69%;18.93%;Alen;$68.73;$46.42;-20.77%;17.31%
NVO;LONG;17.04.2025;$58.34;29.04.2025;$64.80;11.07%;4.49%;Alen;$65.41;$57.00;-2.30%;12.12%
MSFT;LONG;11.10.2024;$419.11;01.05.2025;$433.18;3.36%;2.58%;Alen;$456.16;$344.79;-17.73%;8.84%
AMD;LONG;21.01.2025;$98.36;01.05.2025;$99.46;1.12%;20.43%;Alen;$125.65;$76.48;-22.24%;27.75%
LLY;SHORT;28.04.2025;$869.00;01.05.2025;$802.65;7.64%;5.35%;Alen;$902.50;$792.07;-3.86%;8.85%
AMZN;LONG;11.03.2025;$184.19;02.05.2025;$191.00;3.70%;5.38%;Alen;$206.21;$161.38;-12.38%;11.96%
DECK;LONG;16.04.2025;$104.98;02.05.2025;$115.94;10.44%;1.62%;Alen;$118.00;$100.26;-4.50%;12.40%
PLTR;SHORT;28.04.2025;$116.77;06.05.2025;$106.86;8.49%;5.39%;Alen;$125.26;$105.32;-7.27%;9.81%
TTD;LONG;24.02.2025;$61.48;09.05.2025;$69.88;13.66%;18.92%;Alen;$75.77;$42.96;-30.12%;23.24%
SIG;SHORT;12.05.2025;$69.42;19.05.2025;$62.50;9.97%;5.34%;Alen;$71.87;$61.92;-3.53%;10.80%
BIDU;LONG;31.03.2025;$88.03;21.05.2025;$94.23;7.04%;2.30%;Alen;$95.15;$74.71;-15.13%;8.09%
SRPT;LONG;07.05.2025;$37.24;21.05.2025;$42.07;12.97%;2.86%;Alen;$44.14;$34.10;-8.43%;18.53%
BIIB;LONG;20.03.2025;$125.53;30.05.2025;$130.51;3.97%;9.66%;Alen;$144.15;$110.04;-12.34%;14.83%
ENPH;LONG;22.05.2025;$37.95;30.05.2025;$40.66;7.14%;5.84%;Alen;$48.48;$37.60;-0.92%;27.75%
PENG;LONG;08.01.2025;$18.71;06.06.2025;$19.90;6.36%;4.32%;Alen;$22.67;$14.20;-24.10%;21.17%
CVNA;SHORT;28.04.2025;$313.89;13.06.2025;$296.97;5.39%;43.94%;Alen;$351.43;$229.40;-11.96%;26.92%
HIMS;LONG;23.05.2025;$55.02;16.06.2025;$60.10;9.23%;2.54%;Alen;$67.37;$51.41;-6.56%;22.45%
CRCL;SHORT;20.06.2025;$257.33;24.06.2025;$220.00;14.51%;7.52%;Alen;$298.99;$206.17;-16.19%;19.88%
PGR;SHORT;14.04.2025;$277.83;07.07.2025;$255.00;8.22%;4.27%;Alen;$289.96;$251.79;-4.37%;9.37%
